label,rank,correct
Kurdish,1,1
French,1,1
German,1,1
Swedish,1,1
Polish,1,1
Japanese,1,1
Danish,1,1
Lithuanian,1,1
Judeo-Persian,1,1
Kinyarwanda,1,1
Serbian,1,1
English,1,1
Bokmål,1,1
Hebrew,1,1
Wolof,1,1
Lojban,1,1
Karelian,1,1
Burmese,1,1
Yemba,1,1
Syriac,1,1
Setswana,1,1
Tshivenda,1,1
Rumanian,1.0769230769230769,1
Mooré,1,1
Italian Sign Language,1,1
Yue Chinese,1,1
Achumawi,1,1
Malayalam,1.1428571428571428,1
Achinese,1,1
Englisch,1,1
Pali,1,1
Ñahñú (Otomí),0.38095238095238093,0
Abkhaz,1,1
Adja,1,1
Amahuaca,1,1
Amuesha-Yanesha,0.9,1
Aymara,1,1
Bemba,1,1
Cakchiquel,1,1
Dhivehi (Maldivian),0.72,1
Hausa/Haoussa,1,1
Chin Hakha,0.875,1
Haitian Creole (Kreyol),0.875,1
Makonde,1,1
Luganda/Ganda,1.1111111111111112,1
Lingala,1,1
Sharanahua,1,1
Malagasy,1,1
Lamnso' (Lám nso'),0.9523809523809523,1
Quechua de Cotahuasi (Arequipa),0.7619047619047619,1
Sundanese,1,1
Themne (Temne),0.9411764705882353,1
Toba,1,1
Turkish (Türkçe),0.7,1
Tzeltal,1,1
Ukrainian (Ukrayins'ka),0.8275862068965517,1
Zapoteco,1,1
Myanmar,1,1
mainly English,1,1
Luxembourgish,1,1
Ibibio,1,1
Middle High (ca. 1050-1500),0.47368421052631576,1
Romansch,1,1
Flemish Dutch,0.8695652173913043,0
Mesopotamian Arabic,1,1
Palula,1,1
Ngomba,1,1
Papuan-Australian (Other),0.6060606060606061,0
Portguese,0.8235294117647058,1
Japanese…,0.9333333333333333,1
Romance Languages,1,1
English (non-native),0.6428571428571429,1
japanese,1,1
Contemporary American English,0.7,0
Castillian Spanish,0.8148148148148148,1
Maltan,0.8888888888888888,1
Mandarin,1,1
Arabic (Algeria),0.8148148148148148,1
Portuguese(Portugal),1,1
Chinese(Simplified),0.5714285714285714,0
Bihari,1,0
Afrikaans,1,1
Amele,1,1
Telugu,1,1
Scots,1,1
romanian,1.0769230769230769,1
Aragonese,1,1
Erzya,1,1
No linguistic content,0.625,0
Traditional Chinese,1,0
Czech,1,1
Irish Sign Language,1,1
Icelandic,1,1
persian,1,1
Spanish,1,1
amazigh,1,1
Kazakh,1,1
Latin,1,1
Hindi,1,1
South African Zulu,0.7096774193548387,0
